Title,Metascore,Userscore
The Blind Side,53,7.3
How to Train Your Dragon 2,77,8.4
The Woman King,76,3.1
The Batman,72,7.9
Marcel the Shell with Shoes On,80,8.2
Memoirs of a Geisha,54,7.0
The Count of Monte Cristo,61,8.0
Cast Away,74,7.9
Icarus,68,7.4
King Richard,76,6.6
Roma,96,7.6
Atonement,85,7.9
Boogie Nights,86,8.4
Elemental,63,tbd
Godzilla,79,8.2
Godzilla,79,8.2
Breakthrough,46,6.4
Remember the Titans,48,7.9
Wrath of Man,57,6.9
Inside Out 2,73,7.7
Amores Perros,83,8.4
Deadpool,65,8.0
Edge of Tomorrow,71,8.3
Anastasia,61,7.7
The Longest Ride,33,5.3
The Others,74,8.0
I Still Believe,41,6.0
Night of the Living Dead,89,8.2
Night of the Living Dead,89,8.2
Children of Men,84,8.3
Boyz n the Hood,76,8.1
The Little Prince,70,7.7
Seven Pounds,36,6.8
Courageous,42,7.5
The Irishman,94,8.1
Tangled,71,8.1
Forever My Girl,36,6.1
Earth,72,7.7
Tombstone,50,7.5
The Wild Bunch,98,7.6
Changeling,63,7.6
Ready Player One,64,7.4
The Fault in Our Stars,69,7.4
Beasts of No Nation,79,8.1
I Origins,57,7.4
Billy Elliot,74,7.9
10 Things I Hate About You,70,7.5
Maurice,75,8.1
Spies in Disguise,54,6.8
Coach Carter,57,7.7
American Gangster,76,7.8
The Danish Girl,66,6.7
The Longest Day,75,7.4
Avatar,83,7.3
Apocalypto,68,8.0
Drive,79,8.0
Godzilla Minus One,81,8.6
Mary Poppins,88,8.2
Ex Machina,78,7.9
I Am Sam,28,6.6
Moon,67,8.2
The Game,63,7.8
Corpse Bride,83,7.7
Hot Fuzz,81,8.5
Gandhi,79,8.3
Gattaca,64,8.1
The Call of the Wild,48,6.4
Beautiful Boy,62,6.3
Where the Crawdads Sing,43,6.8
The Bad Guys,64,7.4
Evil Dead II,72,8.2
The Iron Claw,73,7.9
The Fifth Element,52,8.1
Captain Phillips,82,8.1
Treasure Planet,60,8.1
Manchester by the Sea,96,8.2
Cinderella Man,69,7.9
Blood Diamond,64,8.2
We Need to Talk About Kevin,68,7.4
The Conjuring,68,7.8
Donnie Brasco,77,7.8
Serpico,83,8.0
Hotel Mumbai,62,7.6
The Book of Life,67,7.2
Fury,64,7.3
True Romance,59,7.9
Me and Earl and the Dying Girl,74,8.0
Doctor Zhivago,69,7.8
The Call,51,6.5
Facing the Giants,38,6.0
The Train,80,8.5
Predator,47,8.5
Midnight in Paris,81,7.8
Bowling for Columbine,72,7.4
The Tomorrow War,45,6.4
The Crow,72,8.1
The Crow,72,8.1
The Girl with the Dragon Tattoo,76,7.6
Zodiac,79,8.0
Escape from Alcatraz,76,7.9
Who Framed Roger Rabbit,83,8.2
Elvis,64,7.4
Night on Earth,68,7.3
The Book of Henry,31,4.7
The Machinist,61,7.6
Love and Death,89,7.8
Instant Family,57,7.3
Somewhere in Time,29,7.6
Sabrina,72,7.6
Control,78,7.7
Midnight Cowboy,79,8.2
The Favourite,91,7.8
The Magnificent Seven,54,6.5
The Suicide Squad,72,7.3
Almost Famous,90,8.4
The Lighthouse,58,tbd
Life Itself,87,7.9
Hercules,47,6.2
Hercules,47,6.2
Menace II Society,76,7.6
Sonic the Hedgehog 2,47,8.1
My Dinner with Andre,83,7.1
Days of Heaven,94,8.0
Patton,86,8.2
Touching the Void,82,8.4
Training Day,71,8.0
My Cousin Vinny,68,7.7
Cure,70,7.9
Suspiria,79,7.7
Bonnie and Clyde,86,7.8
Walk the Line,72,7.8
Dawn of the Dead,59,7.3
Dawn of the Dead,59,7.3
Still Alice,72,7.7
First Blood,61,8.2
Carol,94,7.9
The Book Thief,53,7.2
In Bruges,67,8.3
Ghostbusters,71,8.3
Ghostbusters,71,8.3
The Shack,32,5.6
The Royal Tenenbaums,76,8.0
Eyes Wide Shut,69,8.1
After Hours,89,8.1
The Invisible Man,72,6.9
Lucky Number Slevin,53,7.6
Men of Honor,56,7.3
The Age of Adaline,51,7.0
Ed Wood,71,8.2
The Killing Fields,76,6.5
The Best of Me,29,5.4
Letters from Iwo Jima,89,8.2
Volver,84,7.5
The Reader,58,7.3
Frankenstein,91,7.9
Glory,78,6.6
Abominable,31,5.6
Pretty Woman,51,7.3
Incredibles 2,80,7.7
Man on Fire,47,7.4
Happiness,81,7.5
The Banshees of Inisherin,87,7.5
Sin City,74,8.0
The Rocky Horror Picture Show,65,7.8
Bullet Train,49,7.3
Dunkirk,94,8.2
In Cold Blood,89,7.5
Ordinary People,86,7.6
Killers of the Flower Moon,89,7.6
The Insider,85,8.3
Baby Driver,86,7.8
Kung Fu Hustle,78,8.1
Ray,73,8.4
The Verdict,77,8.0
Migration,56,7.1
The Right Stuff,91,8.0
Miss Sloane,64,7.1
Wind River,73,7.9
Miracles from Heaven,44,6.2
Erin Brockovich,73,7.7
The Last Duel,67,7.3
Lone Survivor,60,7.5
Unbroken,59,6.5
John Wick,68,7.8
Nebraska,86,8.0
Home Alone,63,8.0
One Day,N/A,N/A
Nocturnal Animals,67,7.7
American Sniper,73,6.6
Secretariat,61,6.5
The Life of David Gale,31,6.6
Richard Jewell,68,7.5
The Return,38,5.5
Contact,62,7.7
Scream,66,8.2
Scream,66,8.2
Only the Brave,72,7.3
Peaceful Warrior,40,7.5
The Last King of Scotland,74,7.7
Saw,46,7.7
The Lego Movie,83,8.2
The Hurricane,74,7.6
Enemy at the Gates,53,6.7
The Secret of Kells,81,7.8
August Rush,38,6.8
The Florida Project,92,7.4
Frida,61,7.0
